name,cell_class,canonical_key
4input0x83FF_X1,logic,0b1000001111111111
4input0x8782_X1,logic,0b1000011110000010
4input0x8880_X1,logic,0b1110000000000000
4input0x8880_X2,logic,0b1110000000000000
4input0x8882_X1,logic,0b1000100010000010
4input0x8889_X1,logic,0b1000100010001001
4input0x888A_X1,logic,0b1000100010001010
4input0x888A_X2,logic,0b1000100010001010
4input0x888B_X1,logic,0b1000100010001011
4input0x8890_X1,logic,0b1100000110000000
4input0x8898_X1,logic,0b1000100010011000
4input0x889F_X1,logic,0b1000100010011111
4input0x88A0_X1,logic,0b1101100000000000
4input0x88A2_X1,logic,0b1000100010100010
4input0x88AB_X1,logic,0b1000100010101011
4input0x88B0_X1,logic,0b1101000110000000
4input0x88B3_X1,logic,0b1000100010110011
4input0x88BA_X1,logic,0b1000100010111010
4input0x88BC_X1,logic,0b1000100010111100
4input0x88BF_X1,logic,0b1000100010111111
4input0x88E0_X1,logic,0b1000100011100000
4input0x88F0_X1,logic,0b1101010110000000
4input0x88F7_X1,logic,0b1000100011110111
4input0x88F8_X1,logic,0b1000100011111000
4input0x88F8_X2,logic,0b1000100011111000
4input0x88FB_X1,logic,0b1000100011111011
4input0x8999_X1,logic,0b1000100110011001
4input0x89BB_X1,logic,0b1000100110111011
4input0x8AA0_X1,logic,0b1011110000000000
4input0x8AA2_X1,logic,0b1000101010100010
4input0x8AA8_X1,logic,0b1111011000000000
4input0x8AA8_X2,logic,0b1111011000000000
4input0x8ABA_X1,logic,0b1000101010111010
4input0x8ABB_X1,logic,0b1000101010111011
4input0x8ACA_X1,logic,0b1000101011001010
4input0x8ACB_X1,logic,0b1000101011001011
4input0x8ADA_X1,logic,0b1000101011011010
4input0x8ADD_X1,logic,0b1000101011011101
4input0x8ADF_X1,logic,0b1000101011011111
4input0x8AEA_X1,logic,0b1000101011101010
4input0x8AEC_X1,logic,0b1000101011101100
4input0x8AFA_X1,logic,0b1000101011111010
4input0x8AFC_X1,logic,0b1000101011111100
4input0x8A_X1,logic,0b0101000100000000
4input0x8BB0_X1,logic,0b1000101110110000
4input0x8BB3_X1,logic,0b1000101110110011
4input0x8BBB_X1,logic,0b1000101110111011
4input0x8BDF_X1,logic,0b1000101111011111
4input0x8EEA_X1,logic,0b1000111011101010
4input0x8EFE_X1,logic,0b1000111011111110
4input0x8FF0_X1,logic,0b1000111111110000
4input0x8FFA_X1,logic,0b1000111111111010
4input0x8FFE_X1,logic,0b1000111111111110
4input0x8_X1,logic,0b0000000000001000
4input0x9888_X1,logic,0b1001100010001000
4input0x9890_X1,logic,0b1001100010010000
4input0x98BA_X1,logic,0b1001100010111010
4input0x98F8_X1,logic,0b1001100011111000
4input0x98FA_X1,logic,0b1001100011111010
4input0x9990_X1,logic,0b1001100110010000
4input0x9991_X1,logic,0b1001100110010001
4input0x9993_X1,logic,0b1001100110010011
4input0x9998_X1,logic,0b1001100110011000
4input0x999B_X1,logic,0b1001100110011011
4input0x999F_X1,logic,0b1001100110011111
4input0x99B3_X1,logic,0b1001100110110011
4input0x9BBB_X1,logic,0b1001101110111011
4input0x9BDF_X1,logic,0b1001101111011111
4input0x9BFF_X1,logic,0b1001101111111111
4input0x9FFF_X1,logic,0b1001111111111111
4input0xA880_X1,logic,0b1010100010000000
4input0xA88B_X1,logic,0b1010100010001011
4input0xA88C_X1,logic,0b1010100010001100
4input0xA88D_X1,logic,0b1010100010001101
4input0xA88E_X1,logic,0b1010100010001110
4input0xA88F_X1,logic,0b1010100010001111
4input0xA899_X1,logic,0b1010100010011001
4input0xA8AB_X1,logic,0b1010100010101011
4input0xA8AC_X1,logic,0b1010100010101100
4input0xA8AD_X1,logic,0b1010100010101101
4input0xA8AE_X1,logic,0b1010100010101110
4input0xA8AF_X1,logic,0b1010100010101111
4input0xA8BC_X1,logic,0b1010100010111100
4input0xA8BF_X1,logic,0b1010100010111111
4input0xA8C8_X1,logic,0b1010100011001000
4input0xA8DC_X1,logic,0b1010100011011100
4input0xA8DD_X1,logic,0b1010100011011101
4input0xA8FC_X1,logic,0b1010100011111100
4input0xA8FC_X2,logic,0b1010100011111100
4input0xA8FD_X1,logic,0b1010100011111101
4input0xA999_X1,logic,0b1010100110011001
4input0xA9A8_X1,logic,0b1010100110101000
4input0xA9AA_X1,logic,0b1010100110101010
4input0xAAA8_X1,logic,0b1111111000000000
4input0xAAA8_X2,logic,0b1111111000000000
4input0xAAA9_X1,logic,0b1010101010101001
4input0xAAAC_X1,logic,0b1010101010101100
4input0xAAAD_X1,logic,0b1010101010101101
4input0xAAAE_X1,logic,0b1010101010101110
4input0xAAAE_X2,logic,0b1010101010101110
4input0xAABC_X1,logic,0b1010101010111100
4input0xAABE_X1,logic,0b1010101010111110
4input0xAAC0_X1,logic,0b1010101011000000
4input0xAAC4_X1,logic,0b1110001111000000
4input0xAAC8_X1,logic,0b1010101011001000
4input0xAACA_X1,logic,0b1010101011001010
4input0xAACD_X1,logic,0b1010101011001101
4input0xAACE_X1,logic,0b1010101011001110
4input0xAACF_X1,logic,0b1010101011001111
4input0xAAD5_X1,logic,0b1010101011010101
4input0xAAD8_X1,logic,0b1010101011011000
4input0xAADF_X1,logic,0b1010101011011111
4input0xAAE8_X1,logic,0b1010101011101000
4input0xAAEA_X1,logic,0b1010101011101010
4input0xAAEA_X2,logic,0b1010101011101010
4input0xAAEB_X1,logic,0b1010101011101011
4input0xAAEC_X1,logic,0b1010101011101100
4input0xAAFC_X1,logic,0b1010101011111100
4input0xAAFD_X1,logic,0b1010101011111101
4input0xAAFE_X1,logic,0b1010101011111110
4input0xAAFE_X2,logic,0b1010101011111110
4input0xABC0_X1,logic,0b1010101111000000
4input0xABCC_X1,logic,0b1010101111001100
4input0xABEA_X1,logic,0b1010101111101010
4input0xABEB_X1,logic,0b1010101111101011
4input0xABEC_X1,logic,0b1010101111101100
4input0xABEE_X1,logic,0b1010101111101110
4input0xABEF_X1,logic,0b1010101111101111
4input0xABEF_X2,logic,0b1010101111101111
4input0xABFC_X1,logic,0b1010101111111100
4input0xABFE_X1,logic,0b1010101111111110
4input0xACCC_X1,logic,0b1111011110000000
4input0xACEC_X1,logic,0b1010110011101100
4input0xACF0_X1,logic,0b1011101111000000
4input0xACFC_X1,logic,0b1010110011111100
4input0xACFE_X1,logic,0b1010110011111110
4input0xACFF_X1,logic,0b1010110011111111
4input0xADDD_X1,logic,0b1010110111011101
4input0xADFC_X1,logic,0b1010110111111100
4input0xADFD_X1,logic,0b1010110111111101
4input0xADFF_X1,logic,0b1010110111111111
4input0xAEE0_X1,logic,0b1010111011100000
4input0xAEE4_X1,logic,0b1010111011100100
4input0xAEEA_X1,logic,0b1010111011101010
4input0xAEEEF_X1,logic,0b1111111111110111
4input0xAEEE_X1,logic,0b1010111011101110
4input0xAEEE_X2,logic,0b1010111011101110
4input0xAEFA_X1,logic,0b1010111011111010
4input0xAEFC_X1,logic,0b1010111011111100
4input0xAEFE_X1,logic,0b1010111011111110
