target_name,target_key,base_name,base_key,status,base_count,inv_count,total,reason,elapsed_s
AND3_X1,0b00000001,3input0x42_X1,0b11101111,OK,1,2,3,,0.31
AND3_X1,0b00000001,NAND3_X1,0b11111110,OK,1,1,2,,0.14
AND3_X1,0b00000001,AOI211_X1,0b1000100010000000,OK,3,1,4,,0.73
AND3_X1,0b00000001,AOI22_X1,0b1110111011100000,OK,3,1,4,,0.94
AND3_X1,0b00000001,OAI22_X1,0b1111100010001000,OK,3,1,4,,0.79
AND3_X1,0b00000001,OAI211_X1,0b1111111011101110,OK,1,2,3,,0.51
3input0x1_X1,0b00010000,AND3_X1,0b00000001,OK,1,1,2,,0.07
3input0x1_X1,0b00010000,OR3_X1,0b01111111,OK,1,3,4,,0.56
3input0x1_X1,0b00010000,AOI21_X1,0b10101000,OK,3,0,3,,0.19
3input0x1_X1,0b00010000,OAI21_X1,0b11101010,OK,5,0,5,,0.76
3input0x1_X1,0b00010000,NAND3_X1,0b11111110,OK,2,1,3,,0.26
3input0x1_X1,0b00010000,AOI211_X1,0b1000100010000000,OK,2,1,3,,0.27
3input0x1_X1,0b00010000,AOI22_X1,0b1110111011100000,OK,3,1,4,,0.79
3input0x1_X1,0b00010000,OAI22_X1,0b1111100010001000,OK,2,1,3,,0.43
3input0x1_X1,0b00010000,OAI211_X1,0b1111111011101110,OK,1,2,3,,0.47
3input0x2_X1,0b00010100,AND3_X1,0b00000001,OK,3,4,7,,1.91
3input0x2_X1,0b00010100,OR3_X1,0b01111111,OK,4,5,9,,21.20
3input0x2_X1,0b00010100,AOI21_X1,0b10101000,OK,4,0,4,,0.40
3input0x2_X1,0b00010100,OAI21_X1,0b11101010,OK,5,0,5,,0.75
3input0x2_X1,0b00010100,NAND3_X1,0b11111110,OK,5,0,5,,0.79
3input0x2_X1,0b00010100,AOI211_X1,0b1000100010000000,OK,2,1,3,,0.34
3input0x2_X1,0b00010100,AOI22_X1,0b1110111011100000,OK,3,1,4,,0.87
3input0x2_X1,0b00010100,OAI22_X1,0b1111100010001000,OK,3,1,4,,0.96
3input0x2_X1,0b00010100,OAI211_X1,0b1111111011101110,OK,2,2,4,,0.95
3input0x3_X1,0b00010101,AND3_X1,0b00000001,OK,2,4,6,,1.10
3input0x3_X1,0b00010101,OR3_X1,0b01111111,OK,2,4,6,,1.55
3input0x3_X1,0b00010101,AOI21_X1,0b10101000,OK,3,0,3,,0.23
3input0x3_X1,0b00010101,OAI21_X1,0b11101010,OK,1,1,2,,0.12
3input0x3_X1,0b00010101,NAND3_X1,0b11111110,OK,4,0,4,,0.50
3input0x3_X1,0b00010101,AOI211_X1,0b1000100010000000,OK,3,1,4,,0.43
3input0x3_X1,0b00010101,AOI22_X1,0b1110111011100000,OK,3,1,4,,0.71
3input0x3_X1,0b00010101,OAI22_X1,0b1111100010001000,OK,3,1,4,,0.60
3input0x3_X1,0b00010101,OAI211_X1,0b1111111011101110,OK,3,1,4,,1.05
3input0x8_X1,0b00010110,AND3_X1,0b00000001,TIMEOUT,,,,,43.92
3input0x8_X1,0b00010110,OR3_X1,0b01111111,TIMEOUT,,,,,56.27
3input0x8_X1,0b00010110,AOI21_X1,0b10101000,OK,5,0,5,,0.64
3input0x8_X1,0b00010110,OAI21_X1,0b11101010,OK,5,0,5,,0.94
3input0x8_X1,0b00010110,NAND3_X1,0b11111110,OK,5,0,5,,0.93
3input0x8_X1,0b00010110,AOI211_X1,0b1000100010000000,OK,5,1,6,,1.46
3input0x8_X1,0b00010110,AOI22_X1,0b1110111011100000,OK,4,1,5,,1.73
3input0x8_X1,0b00010110,OAI22_X1,0b1111100010001000,OK,4,1,5,,1.44
3input0x8_X1,0b00010110,OAI211_X1,0b1111111011101110,OK,4,1,5,,1.57
3input0x9_X1,0b00010111,AND3_X1,0b00000001,OK,4,5,9,,31.16
3input0x9_X1,0b00010111,OR3_X1,0b01111111,TIMEOUT,,,,,41.18
3input0x9_X1,0b00010111,AOI21_X1,0b10101000,OK,3,0,3,,0.19
3input0x9_X1,0b00010111,OAI21_X1,0b11101010,OK,3,0,3,,0.30
3input0x9_X1,0b00010111,NAND3_X1,0b11111110,OK,5,0,5,,0.88
3input0x9_X1,0b00010111,AOI211_X1,0b1000100010000000,OK,3,1,4,,0.59
3input0x9_X1,0b00010111,AOI22_X1,0b1110111011100000,OK,3,1,4,,0.94
3input0x9_X1,0b00010111,OAI22_X1,0b1111100010001000,OK,3,1,4,,1.13
3input0x9_X1,0b00010111,OAI211_X1,0b1111111011101110,OK,3,1,4,,1.13
3input0xA_X1,0b00011000,AND3_X1,0b00000001,TIMEOUT,,,,,56.39
3input0xA_X1,0b00011000,OR3_X1,0b01111111,OK,3,6,9,,17.20
3input0xA_X1,0b00011000,AOI21_X1,0b10101000,OK,4,0,4,,0.40
3input0xA_X1,0b00011000,OAI21_X1,0b11101010,OK,5,0,5,,0.97
3input0xA_X1,0b00011000,NAND3_X1,0b11111110,OK,5,1,6,,1.36
3input0xA_X1,0b00011000,AOI211_X1,0b1000100010000000,OK,4,1,5,,0.80
3input0xA_X1,0b00011000,AOI22_X1,0b1110111011100000,OK,3,1,4,,0.80
3input0xA_X1,0b00011000,OAI22_X1,0b1111100010001000,OK,3,1,4,,0.86
3input0xA_X1,0b00011000,OAI211_X1,0b1111111011101110,OK,4,1,5,,1.29
3input0xB_X1,0b00011001,AND3_X1,0b00000001,OK,3,6,9,,29.79
3input0xB_X1,0b00011001,OR3_X1,0b01111111,OK,3,6,9,,29.22
3input0xB_X1,0b00011001,AOI21_X1,0b10101000,OK,2,1,3,,0.17
3input0xB_X1,0b00011001,OAI21_X1,0b11101010,OK,4,0,4,,0.41
3input0xB_X1,0b00011001,NAND3_X1,0b11111110,OK,6,0,6,,1.17
3input0xB_X1,0b00011001,AOI211_X1,0b1000100010000000,OK,3,1,4,,0.51
3input0xB_X1,0b00011001,AOI22_X1,0b1110111011100000,OK,3,1,4,,0.79
