canonical_A,canonical_B,overlap_ratio
0b0000000000000001,0b1111111111111110,0.163265
0b0000000000000001,0b0000000000000010,0.258503
0b0000000000000001,0b00000001,0.047619
0b0000000000000001,0b00000010,0.061224
0b1011,0b1110111111111111,0.313869
0b1011,0b10111111,0.021898
0b1011,0b11101111,0.021898
0b1011,0b00001011,0.014599
0b1011,0b00001110,0.014599
0b1011,0b00000010,0.043796
0b1011,0b0000000000000010,0.102190
0b1011,0b1111111111111110,0.014599
0b1011,0b0000001011111111,0.021898
0b1011,0b0000100011111111,0.021898
0b1011,0b0010,0.007299
0b1011,0b00001000,0.014599
0b1011,0b00011110,0.007299
0b1011,0b00101101,0.007299
0b1001011001101001,0b1110101011000000,1.000000
0b10000000,0b11101111,0.045802
0b10000000,0b1110111111111111,0.511450
0b10000000,0b1000,0.022901
0b10000000,0b01111111,0.022901
0b10000000,0b0000000000000010,0.183206
0b10000000,0b1111111011111111,0.045802
0b10000000,0b00000010,0.022901
0b10000000,0b0010,0.015267
0b10000000,0b0010101010101010,0.007634
0b10000000,0b1111111111111110,0.007634
0b10000000,0b00001000,0.015267
0b1001,0b0000000111111110,0.023438
0b1001,0b1010101010101001,0.023438
0b0010100011111111,0b1110101011000000,1.000000
0b0110100110010110,0b1110101011000000,1.000000
0b10000010,0b1110101011000000,1.000000
0b10010110,0b1110101011000000,1.000000
0b01111111,0b1110111111111111,0.725000
0b01111111,0b1000000011111111,0.012500
0b01111111,0b0111111111111111,0.012500
0b01111111,0b0000000000000010,0.075000
0b01111111,0b10111111,0.037500
0b01111111,0b10000000,0.037500
0b01111111,0b11101111,0.012500
0b01111111,0b1111111011111111,0.037500
0b01111111,0b0010,0.012500
0b01111111,0b00000010,0.012500
0b1000101010101010,0b1110111111111111,0.746667
0b1000101010101010,0b0000000000000010,0.240000
0b1000101010101010,0b00000010,0.013333
0b0000000010000000,0b1110111111111111,0.472222
0b0000000010000000,0b00000010,0.111111
0b0000000010000000,0b11101111,0.027778
0b0000000010000000,0b0000000000000010,0.375000
0b0000000010000000,0b1111111011111111,0.013889
0b00001110,0b1110111111111111,0.045455
0b00001110,0b1011,0.030303
0b00001110,0b1111111111111110,0.075758
0b00001110,0b00000001,0.045455
0b00001110,0b11101111,0.030303
0b00001110,0b0000000000000010,0.045455
0b00001110,0b1110111011100000,0.015152
0b0000100011111111,0b1110111111111111,0.516667
0b0000100011111111,0b0000000000000010,0.383333
0b0000100011111111,0b10111111,0.016667
0b0000100011111111,0b1011,0.050000
0b0000100011111111,0b00000010,0.016667
0b0000100011111111,0b0010,0.016667
0b1110111011101111,0b00000001,0.068966
0b1110111011101111,0b1110111111111111,0.206897
0b1110111011101111,0b11101111,0.068966
0b1110111011101111,0b0000000000000010,0.051724
0b1110111011101111,0b1111111111111110,0.051724
0b1110111011101111,0b1111111011111111,0.034483
0b1110111011101111,0b1010101010111111,0.017241
0b1000000011111111,0b1110111111111111,0.438596
0b1000000011111111,0b0000000000000010,0.140351
0b1000000011111111,0b01111111,0.017544
0b1000000011111111,0b1111111011111111,0.035088
0b1000000011111111,0b00000010,0.035088
0b1000000011111111,0b11101111,0.245614
0b1000000011111111,0b1111111111111110,0.017544
0b1000000000000000,0b11101111,0.037736
0b1000000000000000,0b0000000000000010,0.471698
0b1000000000000000,0b1110111111111111,0.358491
0b1000000000000000,0b00001000,0.094340
0b1000000000000000,0b1111111011111111,0.018868
0b1000000000000000,0b0010,0.018868
0b0000001011111111,0b10111111,0.106383
0b0000001011111111,0b1110111111111111,0.212766
0b0000001011111111,0b1111111011111111,0.042553
0b0000001011111111,0b00000010,0.106383
0b0000001011111111,0b0000000000000010,0.297872
0b0000001011111111,0b1011,0.063830
0b0000001011111111,0b11101010,0.021277
0b0000001011111111,0b1010101010101110,0.021277
0b0000001011111111,0b0010,0.021277
0b0010101010101010,0b1110111111111111,0.341463
0b0010101010101010,0b00000010,0.048780
0b0010101010101010,0b10000000,0.024390
0b0010101010101010,0b0000000000000010,0.317073
0b0010101010101010,0b11101111,0.024390
0b1000001011111111,0b1110101011000000,1.000000
0b0111111111111111,0b1110111111111111,0.342105
0b0111111111111111,0b01111111,0.026316
0b0111111111111111,0b0000000000000010,0.368421
0b0111111111111111,0b1111111011111111,0.026316
0b0111111111111111,0b00001000,0.026316
0b0111111111111111,0b00000010,0.157895
0b0111111111111111,0b10111111,0.052632
0b1010101010101001,0b1001,0.111111
0b1010101010101001,0b1110111111111111,0.037037
0b1010101010101001,0b1111111111111110,0.148148
0b1010101010101001,0b11101111,0.037037
0b1000,0b10000000,0.142857
0b1000,0b1110111111111111,0.047619
0b1000,0b11101111,0.142857
0b1000,0b0000000000000010,0.047619
0b0000000010101000,0b1110111111111111,0.368421
0b0000000010101000,0b1111111111111110,0.157895
0b0000000010101000,0b00001000,0.052632
0b0000000010101000,0b0000001101010111,0.052632
0b0000000010101000,0b00000010,0.052632
0b0000000010101000,0b0010,0.052632
0b0000000010101000,0b00000001,0.052632
0b0000000010101000,0b0000111011101110,0.052632
0b0000000010101000,0b0000000000000010,0.052632
0b1010101010101011,0b11101111,0.105263
0b1010101010101011,0b1110111111111111,0.578947
0b1010101010101011,0b00000001,0.052632
0b1010101010101011,0b1111111111111110,0.052632
0b1010101010101011,0b0000000000000010,0.157895
0b0000000010001111,0b1111111111111110,0.444444
0b0000000010001111,0b1110111111111111,0.222222
0b0000000010001111,0b00000010,0.111111
0b0000000010001111,0b0000000011101010,0.055556
0b0000000010001111,0b11101111,0.111111
0b0000000010001111,0b0000000000000010,0.055556
0b1010100010101010,0b0000000000000010,0.277778
0b1010100010101010,0b11101111,0.055556
0b1010100010101010,0b1110111111111111,0.222222
0b1010100010101010,0b00000010,0.111111
