canonical,master_cell,cluster_presence,avg_instances
0b1110111011101111,3input0xF_X1,0.017241,0.017241
0b1000000011111111,INV_X1,0.070175,0.070175
0b1000000011111111,3input0xF_X1,0.035088,0.035088
0b1000000011111111,NOR2_X1,0.070175,0.070175
0b1000000011111111,3input0x2C_X1,0.964912,0.964912
0b1000000011111111,OR2_X1,0.929825,0.929825
0b1000000000000000,AND2_X1,0.622642,0.622642
0b1000000000000000,NOR2_X1,1.000000,1.716981
0b1000000000000000,OR2_X1,0.283019,0.566038
0b1000000000000000,NAND2_X1,0.094340,0.094340
0b1000000000000000,INV_X1,0.075472,0.075472
0b1000000000000000,INV_X2,0.018868,0.018868
0b0000001011111111,NAND2_X1,0.914894,0.914894
0b0000001011111111,3input0x2C_X1,0.914894,0.914894
0b0000001011111111,INV_X1,0.085106,0.085106
0b0000001011111111,3input0xF_X1,0.085106,0.085106
0b0000001011111111,NOR2_X1,0.063830,0.063830
0b0000001011111111,AND2_X1,0.021277,0.021277
0b0010101010101010,3input0x29_X1,1.000000,1.000000
0b0010101010101010,NOR2_X1,1.000000,1.000000
0b1000001011111111,3input0x2C_X1,1.000000,1.000000
0b1000001011111111,XOR2_X1,1.000000,1.000000
0b0111111111111111,OR2_X1,0.184211,0.500000
0b0111111111111111,NAND2_X1,0.763158,0.763158
0b0111111111111111,NOR2_X1,0.842105,1.578947
0b0111111111111111,INV_X2,0.052632,0.052632
0b0111111111111111,INV_X1,0.105263,0.131579
0b0111111111111111,NAND3_X2,0.078947,0.078947
0b1010101010101001,NAND3_X2,0.851852,0.851852
0b1010101010101001,XOR2_X1,1.000000,1.000000
0b1010101010101001,NAND3_X1,0.148148,0.148148
0b1000,INV_X2,0.571429,0.571429
0b1000,OR2_X1,1.000000,1.000000
0b1000,INV_X4,0.190476,0.190476
0b1000,INV_X1,0.238095,0.238095
0b0000000010101000,AND2_X1,0.578947,0.684211
0b0000000010101000,AOI21_X1,0.473684,0.473684
0b0000000010101000,NOR2_X1,0.526316,0.526316
0b0000000010101000,3input0x36_X1,0.315789,0.315789
0b0000000010101000,NAND2_X1,0.052632,0.105263
0b0000000010101000,3input0xF_X1,0.052632,0.052632
0b0000000010101000,INV_X1,0.052632,0.052632
0b1010101010101011,NAND3_X2,0.263158,0.263158
0b1010101010101011,NAND2_X1,0.842105,0.842105
0b1010101010101011,NAND3_X1,0.578947,0.578947
